Year,Natural,Additive,Total
1993,268913,8253,277167
1994,208440,6792,215232
1995,110862,8914,119776
1996,128809,9606,138416
1997,308829,8581,317410
1998,110334,10555,120889
1999,991406,17869,1009275
2000,288190,18344,306534
2001,1064800,27599,1092398
2002,214662,16768,231430
2003,35763,15876,51639
2004,56571,29531,86102
2005,195865,27223,223089
2006,412345,36397,448742
2007,261495,30484,291979
2008,375118,30566,405684
2009,86176,30131,116307
2010,63977,26076,90054
2011,54000,31937,85937
2012,58058,34699,92757
2013,178289,32545,210834
2014,164240,28235,192475
2015,76866,28339,105204
2016,95117,33636,128754
2017,46417,24332,70749
2018,67430,27057,94487
2019,82044,23179,105223
2020,17888,23096,40984